Entity,Code,Year,Child mortality rate
Africa,,1984,17.86
Africa,,1985,17.45
Africa,,1986,16.98
Africa,,1987,16.18
Africa,,1988,16.24
Africa,,1989,15.64
Africa,,1990,15.42
Africa,,1991,15.5
Africa,,1992,15.35
Africa,,1993,14.91
Africa,,1994,14.8
Africa,,1995,14.43
Africa,,1996,14.18
Africa,,1997,13.89
Africa,,1998,13.69
Africa,,1999,13.16
Africa,,2000,12.75
Africa,,2001,12.32
Africa,,2002,11.86
Africa,,2003,11.41
Africa,,2004,11.02
Africa,,2005,10.59
Africa,,2006,10.12
Africa,,2007,9.71
Africa,,2008,9.3
Africa,,2009,9.08
Africa,,2010,8.64
Africa,,2011,8.53
Africa,,2012,8.07
Africa,,2013,7.79
Africa,,2014,7.68
Africa,,2015,7.49
Africa,,2016,7.31
Africa,,2017,7.17
Africa,,2018,6.83
Africa,,2019,6.66
Africa,,2020,6.43
Africa,,2021,6.27
Africa,,2022,6.22
Africa,,2023,5.91
Albania,ALB,1978,9.62
Albania,ALB,1979,8.84
Albania,ALB,1980,8.12
Albania,ALB,1981,7.49
Albania,ALB,1982,6.9
Albania,ALB,1983,6.37
Albania,ALB,1984,5.9
Albania,ALB,1985,5.48
Albania,ALB,1986,5.11
Albania,ALB,1987,4.79
Albania,ALB,1988,4.51
Albania,ALB,1989,4.28
Albania,ALB,1990,4.08
Albania,ALB,1991,3.9
Albania,ALB,1992,3.76
Albania,ALB,1993,3.62
Albania,ALB,1994,3.49
Albania,ALB,1995,3.36
Albania,ALB,1996,3.24
Albania,ALB,1997,3.11
Albania,ALB,1998,2.98
Albania,ALB,1999,2.84
Albania,ALB,2000,2.71
Albania,ALB,2001,2.57
Albania,ALB,2002,2.43
Albania,ALB,2003,2.29
Albania,ALB,2004,2.14
Albania,ALB,2005,2
Albania,ALB,2006,1.85
Albania,ALB,2007,1.71
Albania,ALB,2008,1.58
Albania,ALB,2009,1.45
Albania,ALB,2010,1.33
Albania,ALB,2011,1.22
Albania,ALB,2012,1.12
Albania,ALB,2013,1.05
Albania,ALB,2014,0.99
Albania,ALB,2015,0.96
Albania,ALB,2016,0.94
Albania,ALB,2017,0.93
Albania,ALB,2018,0.93
Albania,ALB,2019,0.94
Albania,ALB,2020,0.94
Albania,ALB,2021,0.95
Albania,ALB,2022,0.94
Albania,ALB,2023,0.94
Algeria,DZA,1954,24.2
Algeria,DZA,1955,24.15
Algeria,DZA,1956,24.07
Algeria,DZA,1957,24.02
Algeria,DZA,1958,23.99
Algeria,DZA,1959,23.95
Algeria,DZA,1960,23.96
Algeria,DZA,1961,23.99
Algeria,DZA,1962,24.09
Algeria,DZA,1963,24.2
Algeria,DZA,1964,24.32
Algeria,DZA,1965,24.47
Algeria,DZA,1966,24.58
Algeria,DZA,1967,24.62
Algeria,DZA,1968,24.57
Algeria,DZA,1969,24.41
Algeria,DZA,1970,24.11
Algeria,DZA,1971,23.67
Algeria,DZA,1972,23.1
Algeria,DZA,1973,22.44
Algeria,DZA,1974,21.68
Algeria,DZA,1975,20.85
Algeria,DZA,1976,19.95
Algeria,DZA,1977,19.02
Algeria,DZA,1978,18.02
Algeria,DZA,1979,16.89
Algeria,DZA,1980,15.56
Algeria,DZA,1981,14.03
Algeria,DZA,1982,12.31
Algeria,DZA,1983,10.52
Algeria,DZA,1984,8.91
Algeria,DZA,1985,7.61
Algeria,DZA,1986,6.63
Algeria,DZA,1987,5.96
Algeria,DZA,1988,5.55
Algeria,DZA,1989,5.3
Algeria,DZA,1990,5.17
Algeria,DZA,1991,5.09
Algeria,DZA,1992,5.04
Algeria,DZA,1993,4.98
Algeria,DZA,1994,4.9
Algeria,DZA,1995,4.81
Algeria,DZA,1996,4.7
Algeria,DZA,1997,4.58
Algeria,DZA,1998,4.45
Algeria,DZA,1999,4.31
Algeria,DZA,2000,4.16
Algeria,DZA,2001,4.01
Algeria,DZA,2002,3.85
Algeria,DZA,2003,3.7
Algeria,DZA,2004,3.54
Algeria,DZA,2005,3.4
Algeria,DZA,2006,3.26
Algeria,DZA,2007,3.13
Algeria,DZA,2008,3.01
Algeria,DZA,2009,2.9
Algeria,DZA,2010,2.81
Algeria,DZA,2011,2.73
Algeria,DZA,2012,2.66
Algeria,DZA,2013,2.6
Algeria,DZA,2014,2.54
Algeria,DZA,2015,2.49
Algeria,DZA,2016,2.45
Algeria,DZA,2017,2.4
Algeria,DZA,2018,2.37
Algeria,DZA,2019,2.33
Algeria,DZA,2020,2.29
Algeria,DZA,2021,2.26
Algeria,DZA,2022,2.23
Algeria,DZA,2023,2.2
Andorra,AND,1985,1.72
Andorra,AND,1986,1.63
Andorra,AND,1987,1.54
Andorra,AND,1988,1.45
Andorra,AND,1989,1.37
Andorra,AND,1990,1.31
Andorra,AND,1991,1.23
Andorra,AND,1992,1.16
Andorra,AND,1993,1.1
Andorra,AND,1994,1.05
Andorra,AND,1995,0.99
Andorra,AND,1996,0.94
Andorra,AND,1997,0.89
Andorra,AND,1998,0.84
Andorra,AND,1999,0.8
Andorra,AND,2000,0.76
Andorra,AND,2001,0.72
Andorra,AND,2002,0.69
Andorra,AND,2003,0.66
Andorra,AND,2004,0.62
Andorra,AND,2005,0.6
Andorra,AND,2006,0.56
Andorra,AND,2007,0.54
Andorra,AND,2008,0.51
Andorra,AND,2009,0.48
Andorra,AND,2010,0.46
Andorra,AND,2011,0.44
Andorra,AND,2012,0.41
Andorra,AND,2013,0.39
Andorra,AND,2014,0.37
Andorra,AND,2015,0.35
Andorra,AND,2016,0.34
Andorra,AND,2017,0.32
Andorra,AND,2018,0.31
Andorra,AND,2019,0.3
Andorra,AND,2020,0.29
Andorra,AND,2021,0.28
Andorra,AND,2022,0.27
Andorra,AND,2023,0.26
Angola,AGO,1980,23.81
Angola,AGO,1981,23.53
Angola,AGO,1982,23.29
Angola,AGO,1983,23
Angola,AGO,1984,22.8
Angola,AGO,1985,22.63
Angola,AGO,1986,22.5
Angola,AGO,1987,22.4
Angola,AGO,1988,22.32
Angola,AGO,1989,22.28
Angola,AGO,1990,22.27
Angola,AGO,1991,22.25
Angola,AGO,1992,22.24
Angola,AGO,1993,22.2
Angola,AGO,1994,22.16
Angola,AGO,1995,22.07
Angola,AGO,1996,21.89
Angola,AGO,1997,21.62
Angola,AGO,1998,21.26
Angola,AGO,1999,20.82
Angola,AGO,2000,20.3
Angola,AGO,2001,19.69
Angola,AGO,2002,18.99
Angola,AGO,2003,18.22
Angola,AGO,2004,17.38
Angola,AGO,2005,16.5
Angola,AGO,2006,15.55
Angola,AGO,2007,14.6
Angola,AGO,2008,13.7
Angola,AGO,2009,12.82
Angola,AGO,2010,11.98
Angola,AGO,2011,11.21
Angola,AGO,2012,10.48
Angola,AGO,2013,9.83
Angola,AGO,2014,9.28
Angola,AGO,2015,8.82
Angola,AGO,2016,8.41
Angola,AGO,2017,8.05
Angola,AGO,2018,7.73
Angola,AGO,2019,7.44
Angola,AGO,2020,7.16
Angola,AGO,2021,6.9
Angola,AGO,2022,6.64
Angola,AGO,2023,6.4
Anguilla,AIA,1985,2.5
Anguilla,AIA,1986,2.37
Anguilla,AIA,1987,2.24
Anguilla,AIA,1988,2.12
Anguilla,AIA,1989,2.01
Anguilla,AIA,1990,1.9
Anguilla,AIA,1991,1.81
Anguilla,AIA,1992,1.72
Anguilla,AIA,1993,1.63
Anguilla,AIA,1994,1.55
Anguilla,AIA,1995,1.48
Anguilla,AIA,1996,1.41
Anguilla,AIA,1997,1.35
Anguilla,AIA,1998,1.29
Anguilla,AIA,1999,1.24
Anguilla,AIA,2000,1.19
Anguilla,AIA,2001,1.15
Anguilla,AIA,2002,1.1
Anguilla,AIA,2003,1.06
Anguilla,AIA,2004,1.03
Anguilla,AIA,2005,1
Anguilla,AIA,2006,0.97
Anguilla,AIA,2007,0.94
Anguilla,AIA,2008,0.91
Anguilla,AIA,2009,0.88
Anguilla,AIA,2010,0.86
Anguilla,AIA,2011,0.83
Anguilla,AIA,2012,0.81
Anguilla,AIA,2013,0.79
Anguilla,AIA,2014,0.76
Anguilla,AIA,2015,0.74
Anguilla,AIA,2016,0.72
Anguilla,AIA,2017,0.7
Anguilla,AIA,2018,0.67
Anguilla,AIA,2019,0.66
Anguilla,AIA,2020,0.64
Anguilla,AIA,2021,0.61
Anguilla,AIA,2022,0.59
Anguilla,AIA,2023,0.58
Antigua and Barbuda,ATG,1949,12.26
Antigua and Barbuda,ATG,1950,11.91
Antigua and Barbuda,ATG,1951,11.55
Antigua and Barbuda,ATG,1952,11.19
Antigua and Barbuda,ATG,1953,10.84
Antigua and Barbuda,ATG,1954,10.49
Antigua and Barbuda,ATG,1955,10.16
Antigua and Barbuda,ATG,1956,9.82
Antigua and Barbuda,ATG,1957,9.48
Antigua and Barbuda,ATG,1958,9.12
Antigua and Barbuda,ATG,1959,8.72
Antigua and Barbuda,ATG,1960,8.25
Antigua and Barbuda,ATG,1961,7.74
Antigua and Barbuda,ATG,1962,7.18
Antigua and Barbuda,ATG,1963,6.59
Antigua and Barbuda,ATG,1964,6
Antigua and Barbuda,ATG,1965,5.41
Antigua and Barbuda,ATG,1966,4.86
Antigua and Barbuda,ATG,1967,4.36
Antigua and Barbuda,ATG,1968,3.92
Antigua and Barbuda,ATG,1969,3.54
Antigua and Barbuda,ATG,1970,3.23
Antigua and Barbuda,ATG,1971,2.96
Antigua and Barbuda,ATG,1972,2.74
Antigua and Barbuda,ATG,1973,2.56
Antigua and Barbuda,ATG,1974,2.4
Antigua and Barbuda,ATG,1975,2.25
Antigua and Barbuda,ATG,1976,2.11
Antigua and Barbuda,ATG,1977,1.97
Antigua and Barbuda,ATG,1978,1.84
Antigua and Barbuda,ATG,1979,1.71
Antigua and Barbuda,ATG,1980,1.6
Antigua and Barbuda,ATG,1981,1.5
Antigua and Barbuda,ATG,1982,1.42
Antigua and Barbuda,ATG,1983,1.36
Antigua and Barbuda,ATG,1984,1.31
Antigua and Barbuda,ATG,1985,1.29
Antigua and Barbuda,ATG,1986,1.28
Antigua and Barbuda,ATG,1987,1.28
Antigua and Barbuda,ATG,1988,1.3
Antigua and Barbuda,ATG,1989,1.32
Antigua and Barbuda,ATG,1990,1.35
Antigua and Barbuda,ATG,1991,1.39
Antigua and Barbuda,ATG,1992,1.43
Antigua and Barbuda,ATG,1993,1.47
Antigua and Barbuda,ATG,1994,1.51
Antigua and Barbuda,ATG,1995,1.54
Antigua and Barbuda,ATG,1996,1.55
Antigua and Barbuda,ATG,1997,1.55
Antigua and Barbuda,ATG,1998,1.54
Antigua and Barbuda,ATG,1999,1.52
Antigua and Barbuda,ATG,2000,1.49
Antigua and Barbuda,ATG,2001,1.46
Antigua and Barbuda,ATG,2002,1.43
Antigua and Barbuda,ATG,2003,1.4
Antigua and Barbuda,ATG,2004,1.36
Antigua and Barbuda,ATG,2005,1.33
Antigua and Barbuda,ATG,2006,1.3
Antigua and Barbuda,ATG,2007,1.27
Antigua and Barbuda,ATG,2008,1.24
Antigua and Barbuda,ATG,2009,1.22
Antigua and Barbuda,ATG,2010,1.19
Antigua and Barbuda,ATG,2011,1.17
Antigua and Barbuda,ATG,2012,1.15
Antigua and Barbuda,ATG,2013,1.13
Antigua and Barbuda,ATG,2014,1.12
Antigua and Barbuda,ATG,2015,1.1
Antigua and Barbuda,ATG,2016,1.08
Antigua and Barbuda,ATG,2017,1.06
Antigua and Barbuda,ATG,2018,1.05
Antigua and Barbuda,ATG,2019,1.03
Antigua and Barbuda,ATG,2020,1.01
Antigua and Barbuda,ATG,2021,0.98
Antigua and Barbuda,ATG,2022,0.96
Antigua and Barbuda,ATG,2023,0.93
Argentina,ARG,1911,23.88
Argentina,ARG,1912,22.96
Argentina,ARG,1913,20.53
Argentina,ARG,1914,19.6
Argentina,ARG,1915,19.41
Argentina,ARG,1916,19.41
Argentina,ARG,1917,20.16
Argentina,ARG,1918,22.03
Argentina,ARG,1919,21.28
Argentina,ARG,1920,19.97
Argentina,ARG,1921,17.91
Argentina,ARG,1922,17.16
Argentina,ARG,1923,17.16
Argentina,ARG,1924,17.91
Argentina,ARG,1925,18.84
Argentina,ARG,1926,18.47
Argentina,ARG,1927,19.78
Argentina,ARG,1928,17.34
Argentina,ARG,1929,16.22
Argentina,ARG,1930,14.93
Argentina,ARG,1931,14.93
Argentina,ARG,1932,14.02
Argentina,ARG,1933,12.59
Argentina,ARG,1934,14.38
Argentina,ARG,1935,16.04
Argentina,ARG,1936,14.38
Argentina,ARG,1937,14.02
Argentina,ARG,1938,15.48
Argentina,ARG,1939,13.12
Argentina,ARG,1940,13.12
Argentina,ARG,1941,12.24
Argentina,ARG,1942,12.41
Argentina,ARG,1943,11.37
Argentina,ARG,1944,11.54
Argentina,ARG,1945,11.72
Argentina,ARG,1946,10.35
Argentina,ARG,1947,11.03
Argentina,ARG,1948,9.52
Argentina,ARG,1949,9.2
Argentina,ARG,1950,9.36
Argentina,ARG,1951,9.2
Argentina,ARG,1952,8.88
Argentina,ARG,1953,8.57
Argentina,ARG,1954,8.12
Argentina,ARG,1955,8.42
Argentina,ARG,1956,7.66
Argentina,ARG,1957,9.36
Argentina,ARG,1958,8.27
Argentina,ARG,1964,5.75
Argentina,ARG,1965,5.75
Argentina,ARG,1966,5.87
Argentina,ARG,1967,5.86
Argentina,ARG,1968,5.84
Argentina,ARG,1969,7.25
Argentina,ARG,1970,7.17
Argentina,ARG,1971,7.08
Argentina,ARG,1972,6.97
Argentina,ARG,1973,6.82
Argentina,ARG,1974,6.61
Argentina,ARG,1975,6.33
Argentina,ARG,1976,5.98
Argentina,ARG,1977,5.56
Argentina,ARG,1978,5.12
Argentina,ARG,1979,4.68
Argentina,ARG,1980,4.28
Argentina,ARG,1981,3.94
Argentina,ARG,1982,3.65
Argentina,ARG,1983,3.41
Argentina,ARG,1984,3.21
Argentina,ARG,1985,3.06
Argentina,ARG,1986,2.96
Argentina,ARG,1987,2.91
Argentina,ARG,1988,2.9
Argentina,ARG,1989,2.89
Argentina,ARG,1990,2.88
Argentina,ARG,1991,2.84
Argentina,ARG,1992,2.76
Argentina,ARG,1993,2.66
Argentina,ARG,1994,2.54
Argentina,ARG,1995,2.42
Argentina,ARG,1996,2.31
Argentina,ARG,1997,2.19
Argentina,ARG,1998,2.09
Argentina,ARG,1999,2.01
Argentina,ARG,2000,1.94
Argentina,ARG,2001,1.88
Argentina,ARG,2002,1.83
Argentina,ARG,2003,1.78
Argentina,ARG,2004,1.73
Argentina,ARG,2005,1.67
Argentina,ARG,2006,1.62
Argentina,ARG,2007,1.58
Argentina,ARG,2008,1.54
Argentina,ARG,2009,1.49
Argentina,ARG,2010,1.44
Argentina,ARG,2011,1.39
Argentina,ARG,2012,1.33
Argentina,ARG,2013,1.27
Argentina,ARG,2014,1.22
Argentina,ARG,2015,1.17
Argentina,ARG,2016,1.14
Argentina,ARG,2017,1.1
Argentina,ARG,2018,1.07
Argentina,ARG,2019,1.05
Argentina,ARG,2020,1.03
Argentina,ARG,2021,1
Argentina,ARG,2022,0.98
Argentina,ARG,2023,0.96
Armenia,ARM,1976,8.67
Armenia,ARM,1977,8.32
Armenia,ARM,1978,7.98
Armenia,ARM,1979,7.67
Armenia,ARM,1980,7.36
Armenia,ARM,1981,7.06
Armenia,ARM,1982,6.78
Armenia,ARM,1983,6.52
Armenia,ARM,1984,6.26
Armenia,ARM,1985,6.01
Armenia,ARM,1986,5.78
Armenia,ARM,1987,5.55
Armenia,ARM,1988,9.93
Armenia,ARM,1989,5.11
Armenia,ARM,1990,4.9
Armenia,ARM,1991,4.69
Armenia,ARM,1992,4.49
Armenia,ARM,1993,4.29
Armenia,ARM,1994,4.09
Armenia,ARM,1995,3.9
Armenia,ARM,1996,3.72
Armenia,ARM,1997,3.55
Armenia,ARM,1998,3.39
Armenia,ARM,1999,3.23
Armenia,ARM,2000,3.08
Armenia,ARM,2001,2.93
Armenia,ARM,2002,2.79
Armenia,ARM,2003,2.65
Armenia,ARM,2004,2.52
Armenia,ARM,2005,2.4
Armenia,ARM,2006,2.28
Armenia,ARM,2007,2.17
Armenia,ARM,2008,2.06
Armenia,ARM,2009,1.97
Armenia,ARM,2010,1.87
Armenia,ARM,2011,1.78
Armenia,ARM,2012,1.7
Armenia,ARM,2013,1.62
Armenia,ARM,2014,1.54
Armenia,ARM,2015,1.46
Armenia,ARM,2016,1.4
Armenia,ARM,2017,1.33
Armenia,ARM,2018,1.27
Armenia,ARM,2019,1.21
Armenia,ARM,2020,1.16
Armenia,ARM,2021,1.1
Armenia,ARM,2022,1.05
Armenia,ARM,2023,1
Asia,,1969,15.06
Asia,,1970,14.8
Asia,,1971,14.73
Asia,,1972,13.89
Asia,,1973,13.45
Asia,,1974,13.04
Asia,,1975,12.66
Asia,,1976,12.24
Asia,,1977,11.8
Asia,,1978,11.38
Asia,,1979,10.94
Asia,,1980,10.57
Asia,,1981,10.22
Asia,,1982,9.94
Asia,,1983,9.65
Asia,,1984,9.42
Asia,,1985,9.2
Asia,,1986,8.97
Asia,,1987,8.76
Asia,,1988,8.56
Asia,,1989,8.35
Asia,,1990,8.15
Asia,,1991,7.94
Asia,,1992,7.73
Asia,,1993,7.51
Asia,,1994,7.29
Asia,,1995,7.1
Asia,,1996,6.86
Asia,,1997,6.62
Asia,,1998,6.37
Asia,,1999,6.11
Asia,,2000,5.85
Asia,,2001,5.59
Asia,,2002,5.33
Asia,,2003,5.04
Asia,,2004,4.85
Asia,,2005,4.58
Asia,,2006,4.36
Asia,,2007,4.16
Asia,,2008,4
Asia,,2009,3.78
Asia,,2010,3.6
Asia,,2011,3.43
Asia,,2012,3.27
Asia,,2013,3.11
Asia,,2014,2.96
Asia,,2015,2.82
Asia,,2016,2.68
Asia,,2017,2.56
Asia,,2018,2.44
Asia,,2019,2.33
Asia,,2020,2.23
Asia,,2021,2.15
Asia,,2022,2.07
Asia,,2023,2
Australia,AUS,1870,16.97
Australia,AUS,1871,15.66
Australia,AUS,1872,18.28
Australia,AUS,1873,17.53
Australia,AUS,1874,19.6
Australia,AUS,1875,22.22
Australia,AUS,1876,18.47
Australia,AUS,1877,19.97
Australia,AUS,1878,20.72
Australia,AUS,1879,17.72
Australia,AUS,1880,18.09
Australia,AUS,1881,17.91
Australia,AUS,1882,21.47
Australia,AUS,1883,18.84
Australia,AUS,1884,19.6
Australia,AUS,1885,20.16
Australia,AUS,1886,19.78
Australia,AUS,1887,17.91
Australia,AUS,1888,17.91
Australia,AUS,1889,20.91
Australia,AUS,1890,16.22
Australia,AUS,1891,17.72
Australia,AUS,1892,16.04
Australia,AUS,1893,17.91
Australia,AUS,1894,15.66
Australia,AUS,1895,15.11
Australia,AUS,1896,17.53
Australia,AUS,1897,15.85
Australia,AUS,1898,20.16
Australia,AUS,1899,17.91
Australia,AUS,1900,14.93
Australia,AUS,1901,15.66
Australia,AUS,1902,16.22
Australia,AUS,1903,16.97
Australia,AUS,1904,11.72
Australia,AUS,1905,11.72
Australia,AUS,1906,11.89
Australia,AUS,1907,11.54
Australia,AUS,1908,11.03
Australia,AUS,1909,10.02
Australia,AUS,1910,10.52
Australia,AUS,1911,9.36
Australia,AUS,1912,10.02
Australia,AUS,1913,10.02
Australia,AUS,1914,9.85
Australia,AUS,1915,9.36
Australia,AUS,1916,9.69
Australia,AUS,1917,7.5
Australia,AUS,1918,7.97
Australia,AUS,1919,9.52
Australia,AUS,1920,9.52
Australia,AUS,1921,8.91
Australia,AUS,1922,7.1
Australia,AUS,1923,7.95
Australia,AUS,1924,7.61
Australia,AUS,1925,6.98
Australia,AUS,1926,7.02
Australia,AUS,1927,7.23
Australia,AUS,1928,7.16
Australia,AUS,1929,6.81
Australia,AUS,1930,6.38
Australia,AUS,1931,5.43
Australia,AUS,1932,5.36
Australia,AUS,1933,5.33
Australia,AUS,1934,5.8
Australia,AUS,1935,5.36
Australia,AUS,1936,5.58
Australia,AUS,1937,5.07
Australia,AUS,1938,5.05
Australia,AUS,1939,5.05
Australia,AUS,1940,5.02
Australia,AUS,1941,5.25
Australia,AUS,1942,5.15
Australia,AUS,1943,5.03
Australia,AUS,1944,4.14
Australia,AUS,1945,3.79
Australia,AUS,1946,3.85
Australia,AUS,1947,3.58
Australia,AUS,1948,3.39
Australia,AUS,1949,3.22
Australia,AUS,1950,3.16
Australia,AUS,1951,3.1
Australia,AUS,1952,3.03
Australia,AUS,1953,2.95
Australia,AUS,1954,2.87
Australia,AUS,1955,2.8
Australia,AUS,1956,2.73
Australia,AUS,1957,2.66
Australia,AUS,1958,2.6
Australia,AUS,1959,2.54
Australia,AUS,1960,2.49
Australia,AUS,1961,2.43
Australia,AUS,1962,2.37
Australia,AUS,1963,2.32
Australia,AUS,1964,2.27
Australia,AUS,1965,2.24
Australia,AUS,1966,2.21
Australia,AUS,1967,2.2
Australia,AUS,1968,2.19
Australia,AUS,1969,2.18
Australia,AUS,1970,2.15
Australia,AUS,1971,2.1
Australia,AUS,1972,2.03
Australia,AUS,1973,1.94
Australia,AUS,1974,1.84
Australia,AUS,1975,1.73
Australia,AUS,1976,1.62
Australia,AUS,1977,1.52
Australia,AUS,1978,1.44
Australia,AUS,1979,1.36
Australia,AUS,1980,1.3
Australia,AUS,1981,1.26
Australia,AUS,1982,1.22
Australia,AUS,1983,1.19
Australia,AUS,1984,1.16
Australia,AUS,1985,1.13
Australia,AUS,1986,1.1
Australia,AUS,1987,1.06
Australia,AUS,1988,1.02
Australia,AUS,1989,0.97
Australia,AUS,1990,0.92
Australia,AUS,1991,0.87
Australia,AUS,1992,0.82
Australia,AUS,1993,0.77
Australia,AUS,1994,0.73
Australia,AUS,1995,0.7
Australia,AUS,1996,0.68
Australia,AUS,1997,0.66
Australia,AUS,1998,0.64
Australia,AUS,1999,0.63
Australia,AUS,2000,0.62
Australia,AUS,2001,0.61
Australia,AUS,2002,0.6
Australia,AUS,2003,0.59
Australia,AUS,2004,0.58
Australia,AUS,2005,0.57
Australia,AUS,2006,0.56
Australia,AUS,2007,0.54
Australia,AUS,2008,0.52
Australia,AUS,2009,0.5
Australia,AUS,2010,0.48
Australia,AUS,2011,0.45
Australia,AUS,2012,0.43
Australia,AUS,2013,0.41
Australia,AUS,2014,0.4
Australia,AUS,2015,0.39
Australia,AUS,2016,0.38
Australia,AUS,2017,0.38
Australia,AUS,2018,0.38
Australia,AUS,2019,0.38
Australia,AUS,2020,0.38
Australia,AUS,2021,0.37
Australia,AUS,2022,0.37
Australia,AUS,2023,0.37
Austria,AUT,1830,38.51
Austria,AUT,1831,43.69
Austria,AUT,1832,39.48
Austria,AUT,1833,42.22
Austria,AUT,1834,44.01
Austria,AUT,1835,40.29
Austria,AUT,1836,38.35
Austria,AUT,1837,41.09
Austria,AUT,1838,39
Austria,AUT,1839,41.41
Austria,AUT,1840,39.64
Austria,AUT,1841,40.77
Austria,AUT,1842,39.8
Austria,AUT,1843,42.06
Austria,AUT,1844,37.38
Austria,AUT,1845,40.13
Austria,AUT,1846,40.77
Austria,AUT,1849,39.48
Austria,AUT,1850,40.77
Austria,AUT,1851,39.32
Austria,AUT,1852,39.32
Austria,AUT,1853,36.89
Austria,AUT,1854,44.33
Austria,AUT,1855,45.15
Austria,AUT,1856,39.16
Austria,AUT,1857,38.83
Austria,AUT,1858,40.61
Austria,AUT,1859,41.25
Austria,AUT,1860,38.51
Austria,AUT,1861,42.87
Austria,AUT,1862,40.61
Austria,AUT,1863,42.06
Austria,AUT,1864,40.61
Austria,AUT,1865,43.85
Austria,AUT,1866,45.15
Austria,AUT,1867,41.09
Austria,AUT,1868,40.29
Austria,AUT,1869,39.32
Austria,AUT,1870,41.09
Austria,AUT,1871,41.41
Austria,AUT,1872,43.85
Austria,AUT,1873,47.1
Austria,AUT,1874,42.22
Austria,AUT,1875,39.48
Austria,AUT,1876,40.13
Austria,AUT,1877,41.9
Austria,AUT,1878,40.93
Austria,AUT,1879,39
Austria,AUT,1880,40.61
Austria,AUT,1881,40.61
Austria,AUT,1882,41.57
Austria,AUT,1883,41.09
Austria,AUT,1884,40.13
Austria,AUT,1885,41.41
Austria,AUT,1886,40.61
Austria,AUT,1887,39.64
Austria,AUT,1888,40.45
Austria,AUT,1889,38.35
Austria,AUT,1890,42.06
Austria,AUT,1891,39.48
Austria,AUT,1892,42.06
Austria,AUT,1893,37.7
Austria,AUT,1894,40.77
Austria,AUT,1895,39.16
Austria,AUT,1896,37.38
Austria,AUT,1897,37.05
Austria,AUT,1898,36.41
Austria,AUT,1899,35.6
Austria,AUT,1900,37.54
Austria,AUT,1901,33.99
Austria,AUT,1902,35.12
Austria,AUT,1903,34.96
Austria,AUT,1904,34.15
Austria,AUT,1905,37.54
Austria,AUT,1906,32.85
Austria,AUT,1907,33.99
Austria,AUT,1908,32.36
Austria,AUT,1909,33.99
Austria,AUT,1910,30.73
Austria,AUT,1911,33.66
Austria,AUT,1912,29.42
Austria,AUT,1913,30.9
Austria,AUT,1914,27.94
